id;jp;kana;romaji;fr;en;mp3;tag;liste
1;;ああ;aa;Ah!;;;interjection;1
2;会う;あう;au;rencontrer, voir une personne;;;verbe;1
3;青い;あおい;aoi;bleu, vert;;;adjectif-i;1
4;赤い;あかい;akai;rouge;;;adjectif-i;1
5;明るい;あかるい;akarui;clair;;;adjectif-i;1
6;秋;あき;aki;automne;;;nom;1
7;開く;あく;aku;s’ouvrir;;;verbe;1
8;開ける;あける;akeru;ouvrir;;;verbe;1
9;上げる;あげる;ageru;donner;;;verbe;1
10;朝;あさ;asa;matin;;;nom;1
11;朝ご飯;あさごはん;asagohan;petit-déjeuner;;;nom;1
12;明後日;あさって;asatte;après-demain;;;nom;1
13;足;あし;ashi;pied, jambe;;;nom;1
14;明日;あした;ashita;demain;;;nom;1
15;;あそこ;asoko;là-bas;;;pronom;1
16;遊ぶ;あそぶ;asobu;jouer;;;verbe;1
17;暖かい;あたたかい;atatakai;chaud;;;adjectif-i;1
18;;;;;;;;
